"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4382","Validate that the side menu display the right choices  Admin, PIM, Leave, Time, Recruitment, My Info, Performance,Dashboard, Directory  ","Surefire suite","2026-08-28","passed","2026-08-28","Tests.TC11Test","Surefire test","Tests.TC11Test","verifySidebarMenuUI"
"","12077","Validate when we try to add employee with empty required field it will be rejected","Surefire suite","2026-08-28","broken","2026-08-28","Tests.TC07Test","Surefire test","Tests.TC07Test","addEmployeeWithEmptyFirstNameFeild"
"","16556","Validate when login and navigate to pim page we can open add employee page","Surefire suite","2026-08-28","passed","2026-08-28","Tests.TC06Test","Surefire test","Tests.TC06Test","openAddEmployeePage"
"","24733","Validate that admin can access the add user page and all form fields are visible  ","Surefire suite","2026-08-28","broken","2026-08-28","Tests.TC09Test","Surefire test","Tests.TC09Test","checkAddUserPageFormFields"
"","26194","Validate we can navigate to pim page and search for an existing employee ","Surefire suite","2026-08-28","broken","2026-08-28","Tests.TC04Test","Surefire test","Tests.TC04Test","searchForEmployee"
"","15653","Validate when search for an Non existing employee it return No Records Found ","Surefire suite","2026-08-28","passed","2026-08-28","Tests.TC05Test","Surefire test","Tests.TC05Test","searchForUnexistingEmployee"
"","3432","Validate login with empty credentials is rejected and show alert ","Surefire suite","2026-08-28","passed","2026-08-28","Tests.TC03Test","Surefire test","Tests.TC03Test","loginWithEmptyFields"
"","18948","Validate when we navigate to add employee page we can add new employee when we fill all required fields","Surefire suite","2026-08-28","broken","2026-08-28","Tests.TC08Test","Surefire test","Tests.TC08Test","addNewEmployee"
"","15039","Validate login with the invalid credentials is rejected and show alert ","Surefire suite","2026-08-28","broken","2026-08-28","Tests.TC02Test","Surefire test","Tests.TC02Test","loginWithInvalidCredentials"
"","14556","Validate that all pages footer contains the branding link","Surefire suite","2026-08-28","broken","2026-08-28","Tests.TC10Test","Surefire test","Tests.TC10Test","checkFooterForBrandingLink"
"","9256","Validate login with the valid credentials will navigate us to dashboard ","Surefire suite","2026-08-28","passed","2026-08-28","Tests.TC01Test","Surefire test","Tests.TC01Test","loginWithValidCredentials"
